Data Timestamp,WS MAX MS,WS MAX KT,WS MAX KM,TEMP MIN DEG,TEMP MAX DEG,RH MIN %,RH MAX %,DP MIN %,DP MAX %,QFE MIN %,QFE MAX %,QFF MIN %,QFF MAX %,IRAD SUM JM2,IRAD SUM MJM2,RAIN SUM MM
2017-04-05 00:00:00 +06,8.1,15.7,29.2,21.3,28.3,69.0,98.0,20.0,25.0,1006.4,1010.2,1007.4,1011.2,26066,0.02606600000000000000,8.4
2017-04-06 00:00:00 +06,3.8,7.4,13.7,20.9,30.9,70.8,98.0,19.9,26.0,1005.5,1011.1,1006.5,1012.1,195523,0.19552300000000000000,0.0
2017-04-07 00:00:00 +06,4.7,9.1,16.9,25.0,33.5,64.7,98.0,24.0,27.5,1004.5,1010.2,1005.4,1011.2,195991,0.19599100000000000000,0.0
2017-04-08 00:00:00 +06,5.3,10.3,19.1,26.2,34.1,64.3,98.0,25.2,27.8,1005.2,1010.8,1006.2,1011.8,226525,0.22652500000000000000,0.0
2017-04-09 00:00:00 +06,4.4,8.6,15.8,26.6,29.6,87.7,98.0,25.6,27.2,1005.4,1010.1,1006.4,1011.1,31818,0.03181800000000000000,0.0
2017-05-13 00:00:00 +06,3.7,7.2,13.3,28.4,33.7,61.1,95.6,24.2,28.5,1001.8,1007.9,1002.7,1008.9,156555,0.15655500000000000000,0.0
2017-05-14 00:00:00 +06,4.6,8.9,16.6,26.5,33.2,69.1,98.0,24.4,28.1,1000.9,1006.5,1001.8,1007.4,173467,0.17346700000000000000,0.0
2017-05-15 00:00:00 +06,7.8,15.2,28.1,23.9,30.0,80.5,98.0,22.9,27.8,1000.7,1004.9,1001.6,1005.9,79798,0.07979800000000000000,34.8
2017-06-16 00:00:00 +06,6.2,12.1,22.3,26.8,31.8,81.6,98.0,25.8,28.9,999.9,1001.2,1000.8,1002.1,70628,0.07062800000000000000,21.0
2017-06-17 00:00:00 +06,7.4,14.4,26.6,26.1,32.3,79.7,98.0,25.1,29.0,999.3,1003.0,1000.3,1003.9,108977,0.10897700000000000000,21.6
2017-06-18 00:00:00 +06,9.0,17.5,32.4,26.8,33.3,81.2,98.0,25.4,29.9,997.4,1002.2,998.3,1003.1,199989,0.19998900000000000000,30.0
